【BCH5L_USDT_1M】2024-10-18 23:34:00, 0.0658, 50, [0.0645, 0.0683], [2.02%, 3.66%], RSI
【BCH5L_USDT_1M】2024-10-18 23:35:00, 0.0656, 48, [0.0645, 0.0677], [1.71%, 3.1%], RSI
【BCH5L_USDT_1M】2024-10-18 23:36:00, 0.0656, 57, [0.0645, 0.066], [1.71%, 0.606%], RSI
【BCH5L_USDT_1M】2024-10-18 23:37:00, 0.0652, 70, [0.0645, 0.066], [1.09%, 1.21%], RSI
【BCH5L_USDT_1M】2024-10-18 23:38:00, 0.0656, 36, [0.0645, 0.066], [1.71%, 0.606%], RSI
【BCH5L_USDT_1M】2024-10-18 23:39:00, 0.0652, 54, [0.0645, 0.066], [1.09%, 1.21%], RSI
【BCH5L_USDT_1M】2024-10-18 23:40:00, 0.0652, 42, [0.0645, 0.066], [1.09%, 1.21%], RSI
【BCH5L_USDT_1M】2024-10-18 23:41:00, 0.0651, 41, [0.0645, 0.066], [0.93%, 1.36%], RSI
【BCH5L_USDT_1M】2024-10-18 23:42:00, 0.0648, 55, [0.0645, 0.066], [0.465%, 1.82%], RSI
【BCH5L_USDT_1M】2024-10-18 23:44:00, 0.0654, 18, [0.0648, 0.0656], [0.926%, 0.305%], RSI
【BCH5L_USDT_1M】2024-10-18 23:45:00, 0.0654, 86, [0.0648, 0.0656], [0.926%, 0.305%], RSI
【BCH5L_USDT_1M】2024-10-19 00:36:00, 0.0647, 88, [0.0632, 0.0647], [2.37%, 0%], RSI
【BCH5L_USDT_1M】2024-10-19 00:37:00, 0.0647, 76, [0.0632, 0.0647], [2.37%, 0%], RSI
【BCH5L_USDT_1M】2024-10-19 00:38:00, 0.0647, 19, [0.0632, 0.0647], [2.37%, 0%], RSI
【BCH5L_USDT_1M】2024-10-19 00:39:00, 0.0659, 1e+02, [0.0632, 0.0659], [4.27%, 0%], RSI
【BCH5L_USDT_1M】2024-10-19 00:40:00, 0.0657, 1e+02, [0.0633, 0.0657], [3.79%, 0%], RSI
【BCH5L_USDT_1M】2024-10-19 00:41:00, 0.0656, 98, [0.0633, 0.0657], [3.63%, 0.152%], RSI
【BCH5L_USDT_1M】2024-10-21 16:23:00, 0.0716, 25, [0.0714, 0.0719], [0.28%, 0.417%], RSI
【BCH5L_USDT_1M】2024-10-21 18:06:00, 0.0689, 19, [0.0686, 0.0691], [0.437%, 0.289%], RSI
【BCH5L_USDT_1M】2024-10-22 16:31:00, 0.059, 82, [0.059, 0.06], [0%, 1.67%], RSI
【BCH5L_USDT_1M】2024-10-22 16:32:00, 0.0589, 0, [0.0589, 0.06], [0%, 1.83%], RSI
